GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Civil-aviation-recommended-subject,io,ItemAttributesStorage,121,88,11,7,24,19,8,7,2,4
Civil-aviation-recommended-subject,io,SharedAttributes,28,261,2,2,10,40,7,2,5,2
Civil-aviation-recommended-subject,io,CSVFileIO,293,423,28,37,59,98,22,32,6,13
Civil-aviation-recommended-subject,io,MongoUtils,458,252,39,5,87,64,29,6,7,6
Civil-aviation-recommended-subject,data_processer,DocFreqPair,14,9,0,0,6,4,4,1,4,1
Civil-aviation-recommended-subject,data_processer,DataConverter,301,160,34,10,68,19,26,8,5,5
Civil-aviation-recommended-subject,data_processer,DataParser,0,481,0,22,0,84,0,22,0,11
Civil-aviation-recommended-subject,query_system,QuerySystem,448,119,44,4,114,21,31,4,8,3
Civil-aviation-recommended-subject,query_system,Evaluator,77,0,6,0,20,0,6,0,3,0
Civil-aviation-recommended-subject,query_system,AttributesSearchUnit,363,111,28,2,66,20,19,5,5,4
Civil-aviation-recommended-subject,query_system,ItemSearchUnit,166,0,14,0,29,0,9,0,2,0
Civil-aviation-recommended-subject,query_system,ItemPack,30,184,4,18,6,39,4,16,1,8
Civil-aviation-recommended-subject,data_generating_system,FPGrowth,85,92,14,6,25,32,8,10,1,7
Civil-aviation-recommended-subject,api,API,0,7,0,0,0,2,0,1,0,1
Civil-aviation-recommended-subject,main_class,Main,5,0,0,0,3,0,2,0,2,0
